player_norm,mlb_player_id
kyle isbel,664728
nico hoerner,663538
josh naylor,647304
jorge polanco,593871
michael busch,683737
juan soto,665742
tyler heineman,623168
brenton doyle,686668
jake fraley,641584
oswald peraza,672724
steven matz,571927
matt mclain,680574
junior caminero,691406
jorge mateo,622761
victor scott ii,687363
jared triolo,669707
jo adell,666176
matt shaw,807713
richie palacios,680700
chase meidroth,805367
jesus sanchez,660821
everson pereira,677592
dylan beavers,687637
marcelo mayer,691785
byron buxton,621439
munetaka murakami,808959
matt olson,621566
nasim nunez,683083
kazuma okamoto,672960
luis rengifo,650859
ernie clement,676391
josh bell,605137
dominic smith,642086
tristan peters,671976
luke raley,670042
brady house,691781
jarren duran,680776
henry davis,680779
logan o'hoppe,681351
hunter feduccia,676439
brice turang,668930
luis morales,806960
roman anthony,701350
colson montgomery,695657
cj abrams,682928
steven kwan,680757
brett baty,683146
nolan schanuel,694384
yoan moncada,660162
josh lowe,666139
christian vazquez,543877
j.t. realmuto,592663
caleb durbin,702332
taylor ward,621493
matt wallner,670242
addison barger,680718
dominic canzone,686527
bo bichette,666182
jesus luzardo,666200
francisco lindor,596019
luis robert jr.,673357
hunter goodman,696100
adam frazier,624428
zach neto,687263
tyler soderstrom,691016
denzel clarke,672016
bryce harper,547180
mackenzie gore,669022
javier sanoja,691594
brent rooker,667670
pedro pages,686780
max meyer,676974
isaac paredes,670623
austin wynns,642851
austin slater,596103
jacob young,696285
leo rivas,660844
julio rodriguez,677594
carmen mlodzinski,669387
mike yastrzemski,573262
grant holmes,656550
ryan mountcastle,663624
victor robles,645302
jj wetherholt,802139
cole young,702284
slade cecconi,677944
edmundo sosa,624641
sam haggerty,664059
otto lopez,672640
alec bohm,664761
carter jensen,695600
moises ballesteros,694208
adolis garcia,666969
ezequiel tovar,678662
cedric mullins,656775
kyle schwarber,656941
josh jung,673962
drake baldwin,686948
darell hernaiz,687231
christian walker,572233
yordan alvarez,670541
andres chaparro,665953
blake perkins,663368
joey wiemer,686894
brayan rocchio,677587
carlos correa,621043
tj rumfield,681198
coby mayo,691723
connelly early,813349
trevor larnach,663616
george springer,543807
thomas saggese,695336
samuel basallo,694212
kyle karros,691720
jose altuve,514888
eric lauer,641778
otto kemp,805249
willi castro,650489
sal stewart,701398
shota imanaga,684007
maikel garcia,672580
wyatt langford,694671
spencer steer,668715
daylen lile,695734
royce lewis,668904
carson kelly,608348
ivan herrera,671056
mike trout,545361
pete crow-armstrong,691718
nick gonzales,693304
ryan o'hearn,656811
ian happ,664023
oneil cruz,665833
jose quintana,500779
cal raleigh,663728
jake burger,669394
jorge soler,624585
jake mangum,663968
austin hays,669720
sal frelick,686217
connor norby,681393
noelvi marte,682622
seth lugo,607625
nick loftin,679845
nick kurtz,701762
jeremy pena,665161
heriberto hernandez,681715
ramon urias,602104
rhett lowder,695076
agustin ramirez,682663
gunnar henderson,683002
brett sullivan,664954
wilyer abreu,677800
chandler simpson,802415
andres gimenez,665926
tyler o'neill,641933
gary sanchez,596142
dustin may,669160
brandon sproat,687075
brandon lockridge,663604
jacob wilson,805779
jeferson quero,691620
bo naylor,666310
tatsuya imai,837227
vinnie pasquantino,686469
yandy diaz,650490
bobby witt jr.,677951
willson contreras,575929
anthony kay,641743
jake mccarthy,664983
andrew benintendi,643217
dane myers,667472
lane thomas,657041
luis torrens,620443
jack kochanowicz,686799
xavier edwards,669364
chase delauter,800050
austin riley,663586
jac caglianone,695506
cj kayfus,692216
connor wong,657136
keibert ruiz,660688
cam smith,701358
shane baz,669358
jorbit vivas,678391
gabriel arias,672356
shea langeliers,669127
corey seager,608369
andrew mccutchen,457705
jakob marsee,805300
masyn winn,691026
jake irvin,663623
brandon nimmo,607043
tj friedl,670770
jose ramirez,608070
nolan mclean,690997
eugenio suarez,553993
carson benge,701807
ezequiel duran,677649
bailey ober,641927
alex bregman,608324
edgar quero,700337
brendan donovan,680977
jordan beck,687597
brandon lowe,664040
tristan gray,656484
william contreras,661388
angel martinez,682657
ronald acuna jr.,660670
salvador perez,521692
emerson hancock,676106
kyle higashioka,543309
ozzie albies,645277
masataka yoshida,807799
carson williams,700246
victor caratini,605170
daulton varsho,662139
jeremiah jackson,669236
dansby swanson,621020
randy arozarena,668227
james wood,695578
alec burleson,676475
spencer horwitz,687462
trea turner,607208
rhys hoskins,656555
marcus semien,543760
kyle manzardo,700932
joey loperfido,694388
trevor story,596115
joey ortiz,687401
jonathan aranda,666018
michael harris ii,671739
travis d'arnaud,518595
justin crawford,702222
tyler stephenson,663886
bryan reynolds,668804
kody clemens,665019
pete alonso,624413
luke keaschall,807712
miguel vargas,678246
jordan walker,691023
corbin carroll,682998
colton cowser,681297
ke'bryan hayes,663647
cody bellinger,641355
casey schmitt,669477
marcell ozuna,542303
spencer torkelson,679529
james mccann,543510
carlos narvaez,665966
jazz chisholm jr.,665862
lawrence butler,671732
jake cronenworth,630105
andy ibanez,628451
rece hinds,677956
liam hicks,689414
brooks lee,686797
wenceel perez,672761
lenyn sosa,672820
nick castellanos,592206
xander bogaerts,593428
jake bauers,641343
jeffrey springs,605488
mauricio dubon,643289
manny machado,592518
nick fortes,663743
michael king,650633
bryson stott,681082
andy pages,681624
drew millas,686452
mick abel,690953
danny jansen,643376
kevin mcgonigle,805808
jose caballero,676609
fernando tatis jr.,665487
giancarlo stanton,519317
gavin sheets,657757
rafael devers,646240
mark vientos,668901
freddie freeman,518692
nick yorke,694377
jacob misiorowski,694819
graham pauley,688363
luisangel acuna,682668
jeff mcneil,643446
cole ragans,666142
matt vierling,663837
brandon valenzuela,678218
dillon dingler,693307
nathan lukes,664770
ryan jeffers,680777
max muncy,571970
shane mcclanahan,663556
jake meyers,676694
randal grichuk,545341
riley martin,702303
robbie ray,592662
jonny deluca,676356
matt chapman,656305
framber valdez,664285
garrett mitchell,669003
jose fermin,665877
shohei ohtani,660271
paul goldschmidt,502671
harrison bader,664056
alex freeland,690976
heliot ramos,671218
joey cantillo,676282
ryan vilade,668723
patrick bailey,672275
sonny gray,543243
taylor walls,670764
luis campusano,669134
jackson merrill,701538
bryan woo,693433
gleyber torres,650402
luis arraez,650333
willy adames,642715
brandon marsh,669016
jonathan india,663697
geraldo perdomo,672695
christian yelich,592885
owen caissie,683357
vaughn grissom,687093
ramon laureano,657656
jahmai jones,663330
derek hill,656537
miles mikolas,571945
eloy jimenez,650391
will smith,669257
seiya suzuki,673548
ildemaro vargas,545121
jose fernandez,699912
nolan arenado,571448
jared young,676724
ben williamson,810938
kevin gausman,592332
ryan weathers,677960
david hamilton,666152
juan brito,682877
kyle tucker,663656
javier baez,595879
ceddanne rafaela,678882
tanner murray,695020
tyler freeman,671289
tim tawa,694374
luis garcia jr.,671277
colton gordon,676467
teoscar hernandez,606192
jorge barrosa,678489
yainer diaz,673237
aaron nola,605400
michael mcgreevy,700241
zack gelof,680869
leody taveras,665750
isaac collins,686555
austin wells,669224
ketel marte,606466
maverick handley,668974
trevor rogers,669432
francisco alvarez,682626
bryce teodosio,669326
troy johnston,687859
merrill kelly,518876
reid detmers,672282
mitch keller,656605
miguel andujar,609280
j.p. crawford,641487
freddy fermin,666023
brady singer,663903
hyeseong kim,808975
reynaldo lopez,625643
aaron judge,592450
konnor griffin,804606
riley greene,682985
amed rosario,642708
taylor trammell,666211
yohel pozo,650968
zach mckinstry,656716
michael lorenzen,547179
starling marte,516782
trent grisham,663757
nick allen,669397
ryan mcmahon,641857
pj poulin,676571
austin martin,668885
tommy pham,502054
evan carter,694497
jacob degrom,594798
michael massey,686681
logan gilbert,669302
brandon williamson,682227
nolan gorman,669357
tanner bibee,676440
joc pederson,592626
blaze alexander,677942
davis martin,663436
logan webb,657277
josh smith,669701
aaron civale,650644
ranger suarez,624133
nick martinez,607259
chris bassitt,605135
jose soriano,667755
reese mcguire,624512
edward cabrera,665795
cam schlittler,693645
leo jimenez,677870
janson junk,676083
carlos cortes,666126
george valera,671655
sam antonacci,803011
edouard julien,666397
tomoyuki sugano,608372
drew gilbert,687551
ben rice,700250
kodai senga,673540
nathan church,701675
joe ryan,657746
kyle leahy,681517
will brennan,686823
mickey moniak,666160
michael soroka,647336
michael wacha,608379
zack littell,641793
ryan kreidler,668952
taijuan walker,592836
casey mize,663554
mj melendez,669004
matt waldron,663362
tyler glasnow,607192
daniel schneemann,682177
bubba chandler,696149
ty france,664034
daniel susac,691740
greg jones,675659
braydon fisher,680755
jose tena,677588
hao-yu lee,701678
coleman crow,689441
will benson,666181
davis schneider,676914
nathaniel lowe,663993
braden shewmake,669699
chad patrick,694477
kerry carpenter,681481
brice matthews,694728
dustin harris,687957
lourdes gurriel jr.,666971
peter lambert,663567
matthew boyd,571510
max fried,608331
isiah kiner-falefa,643396
miguel amaya,665804
adley rutschman,668939
martin perez,527048
daniel johnson,669288
eduardo rodriguez,593958
shay whitcomb,694376
walker buehler,621111
colt keith,690993
p.j. higgins,664731
joey bart,663698
jack leiter,683004
tyler mahle,641816
curtis mead,678554
andruw monasterio,655316
braxton ashcraft,677952
clay holmes,605280
tyrone taylor,621438
felix reyes,694025
cade smith,671922
kyle stowers,669065
connor prielipp,687570
didier fuentes,800311
payton tolle,801139
tarik skubal,669373
rafael marchan,665561
cristopher sanchez,650911
alek thomas,677950
cade cavalli,676917
dalton rushing,687221
ryan feltner,663372
luis matos,682641
j.c. escarra,641555
jung lee,808982
christian scott,681035
gavin williams,668909
brandon woodruff,605540
paul skenes,694973
emmet sheehan,686218
alejandro osuna,696030
ronny mauricio,677595
andre pallante,669467
elly cruz,682829
jameson taillon,592791
andrew painter,691725
george kirby,669923
taj bradley,671737
nathan eovaldi,543135
brayan bello,678394
sandy alcantara,645261
brandon young,687064
elias diaz,553869
lance mccullers jr.,621121
max scherzer,453286
adrian houser,605288
vlad guerrero jr.,665489
noah cameron,702070
luis severino,622663
freddy peralta,642547
bryan hudson,663542
yusei kikuchi,579328
will warren,701542
andrew abbott,671096
drew rasmussen,656876
rob refsnyder,608701
colin rea,607067
colby thomas,687515
mitch garver,641598
noah schultz,702273
garrett crochet,676979
matthew liberatore,669461
zac gallen,668678
walbert urena,700712
tyler black,672012
roki sasaki,808963
jack flaherty,656427
eury perez,691587
german marquez,608566
esteury ruiz,665923
weston wilson,642215
austin hedges,595978
jake rogers,668670
connor joe,656582
bryce elder,693821
zack wheeler,554430
mike burrows,681347
myles straw,664702
jonah heim,641680
j.t. ginn,669372
sean burke,680732
foster griffin,656492
spencer arrighetti,681293
justin wrobleski,680736
kyle harrison,690986
landen roupp,694738
ryne nelson,669194
drew romo,691011
yohendrick pinango,682818
jesse scholtens,669947
kumar rocker,677958
chris sale,519242
billy cook,695257
eli white,642201
luis gil,661563
david fry,681807
keider montero,672456
kyle bradish,680694
miguel rojas,500743
patrick corbin,571578
santiago espinal,669289
jose trevino,624431
jj bleday,668709
dylan moore,664238
mason montgomery,682254
randy vasquez,681190
chris paddack,663978
jasson dominguez,691176
parker messick,800048
luis castillo,622491
dylan cease,656302
kai-wei teng,678906
jerar encarnacion,666464
kris bubic,663460
chase burns,695505
trey yesavage,702056
kyle freeland,607536
jr ritchie,702275
christopher morel,666624
travis bazzana,683953
david peterson,656849
garrett stubbs,596117
erick fedde,607200
brett harris,695391
hunter dobbins,690928
jace jung,690291
kyle farmer,571657
eric haase,606992
adrian del castillo,680728
jung hoo lee,808982
cade povich,700249
simeon woods richardson,680573
max schuemann,680474
elly de la cruz,682829
jake bennett,687562
